"id","menu_id","created_by","shared_with","organization_id","permission_level","created_at","client_id","is_active","message","shared_at"
1,387,29,26,7,"read","2025-04-10 21:13:57.962132",26,True,NULL,"2025-05-09 14:56:04.931932"
2,394,29,26,7,"read","2025-04-14 19:26:08.816639",26,True,NULL,"2025-05-09 14:56:04.931932"
3,393,29,26,7,"read","2025-04-14 19:35:31.772789",26,True,NULL,"2025-05-09 14:56:04.931932"
4,391,29,26,7,"read","2025-04-14 19:44:54.257484",26,True,NULL,"2025-05-09 14:56:04.931932"
5,406,29,26,7,"read","2025-05-08 22:49:51.606144",26,True,NULL,"2025-05-09 14:56:04.931932"
6,405,29,NULL,7,"comment","2025-05-09 15:07:02.309045",26,True,NULL,"2025-05-09 15:07:02.309045"
7,415,29,NULL,7,"comment","2025-05-23 01:22:32.563608",26,True,NULL,"2025-05-23 01:22:32.563608"
